Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-01 00:00:00-04:00,542.5,559.25,539.25,555.75,248,0.0,0.0
2020-09-02 00:00:00-04:00,554.5,554.5,545.0,547.75,187,0.0,0.0
2020-09-03 00:00:00-04:00,550.25,550.25,542.5,543.25,115,0.0,0.0
2020-09-04 00:00:00-04:00,542.0,544.0,539.0,539.75,88,0.0,0.0
2020-09-08 00:00:00-04:00,536.25,539.5,533.25,533.25,64,0.0,0.0
2020-09-09 00:00:00-04:00,533.5,536.5,533.25,534.0,32,0.0,0.0
2020-09-10 00:00:00-04:00,544.75,548.5,539.5,540.0,31,0.0,0.0
2020-09-11 00:00:00-04:00,543.0,543.0,533.75,533.75,8,0.0,0.0
2020-09-14 00:00:00-04:00,525.0,549.25,525.0,548.5,50141,0.0,0.0
2020-09-15 00:00:00-04:00,546.0,547.0,533.75,538.25,60557,0.0,0.0
2020-09-16 00:00:00-04:00,535.5,543.0,533.25,542.0,47771,0.0,0.0
2020-09-17 00:00:00-04:00,542.0,557.25,537.25,556.25,76815,0.0,0.0
2020-09-18 00:00:00-04:00,555.75,578.0,555.5,575.0,101480,0.0,0.0
2020-09-21 00:00:00-04:00,576.5,578.25,550.5,554.75,96691,0.0,0.0
2020-09-22 00:00:00-04:00,553.5,567.0,550.25,558.0,75824,0.0,0.0
2020-09-23 00:00:00-04:00,558.5,560.25,547.25,549.0,59472,0.0,0.0
2020-09-24 00:00:00-04:00,548.0,554.25,541.0,549.75,71785,0.0,0.0
2020-09-25 00:00:00-04:00,552.25,552.5,543.75,544.25,48637,0.0,0.0
2020-09-28 00:00:00-04:00,545.25,551.75,537.75,550.25,60680,0.0,0.0
2020-09-29 00:00:00-04:00,551.0,553.25,546.0,549.5,45637,0.0,0.0
2020-09-30 00:00:00-04:00,548.75,587.0,547.0,578.0,122156,0.0,0.0
2020-10-01 00:00:00-04:00,574.0,584.0,568.5,570.25,76218,0.0,0.0
2020-10-02 00:00:00-04:00,569.25,576.5,561.25,573.25,54242,0.0,0.0
2020-10-05 00:00:00-04:00,574.5,587.75,573.0,584.25,60417,0.0,0.0
2020-10-06 00:00:00-04:00,585.0,601.75,579.75,592.75,83093,0.0,0.0
2020-10-07 00:00:00-04:00,591.25,611.5,588.5,607.5,102217,0.0,0.0
2020-10-08 00:00:00-04:00,608.75,616.75,593.25,595.25,95298,0.0,0.0
2020-10-09 00:00:00-04:00,594.0,606.75,588.75,593.75,88056,0.0,0.0
2020-10-12 00:00:00-04:00,592.5,599.0,587.0,594.25,63837,0.0,0.0
2020-10-13 00:00:00-04:00,596.25,604.25,590.75,594.0,56418,0.0,0.0
2020-10-14 00:00:00-04:00,594.75,600.25,587.25,596.75,58370,0.0,0.0
2020-10-15 00:00:00-04:00,596.75,619.5,596.5,618.25,90299,0.0,0.0
2020-10-16 00:00:00-04:00,618.5,630.75,615.5,625.25,90621,0.0,0.0
2020-10-19 00:00:00-04:00,631.0,636.75,620.25,627.0,86964,0.0,0.0
2020-10-20 00:00:00-04:00,628.5,638.25,623.5,632.0,78897,0.0,0.0
2020-10-21 00:00:00-04:00,634.5,637.5,628.75,629.75,61377,0.0,0.0
2020-10-22 00:00:00-04:00,628.5,632.25,621.25,622.75,63702,0.0,0.0
2020-10-23 00:00:00-04:00,623.0,635.5,619.5,632.75,64240,0.0,0.0
2020-10-26 00:00:00-04:00,632.75,633.0,616.0,620.0,66899,0.0,0.0
2020-10-27 00:00:00-04:00,618.75,627.0,614.75,615.75,63486,0.0,0.0
2020-10-28 00:00:00-04:00,614.5,614.5,600.75,608.75,72239,0.0,0.0
2020-10-29 00:00:00-04:00,609.75,611.25,598.5,603.75,69893,0.0,0.0
2020-10-30 00:00:00-04:00,602.0,607.25,595.25,598.5,72812,0.0,0.0
2020-11-02 00:00:00-05:00,593.25,609.5,591.0,607.5,75087,0.0,0.0
2020-11-03 00:00:00-05:00,607.0,616.5,604.0,608.0,70891,0.0,0.0
2020-11-04 00:00:00-05:00,607.75,610.5,597.75,606.0,66077,0.0,0.0
2020-11-05 00:00:00-05:00,606.5,626.25,606.0,609.25,97072,0.0,0.0
2020-11-06 00:00:00-05:00,607.75,615.75,601.75,602.0,105356,0.0,0.0
2020-11-09 00:00:00-05:00,602.25,607.0,595.0,597.5,91438,0.0,0.0
2020-11-10 00:00:00-05:00,597.25,613.0,594.0,608.5,134343,0.0,0.0
2020-11-11 00:00:00-05:00,607.0,613.5,595.5,598.0,107814,0.0,0.0
2020-11-12 00:00:00-05:00,596.25,598.75,587.0,588.25,91052,0.0,0.0
2020-11-13 00:00:00-05:00,586.25,596.25,580.25,593.5,77401,0.0,0.0
2020-11-16 00:00:00-05:00,593.75,601.0,586.0,598.0,87084,0.0,0.0
2020-11-17 00:00:00-05:00,598.0,603.25,592.5,595.25,73204,0.0,0.0
2020-11-18 00:00:00-05:00,595.75,604.25,592.5,597.75,61555,0.0,0.0
2020-11-19 00:00:00-05:00,598.75,600.25,589.75,591.75,42206,0.0,0.0
2020-11-20 00:00:00-05:00,590.0,598.25,590.0,593.25,36851,0.0,0.0
2020-11-23 00:00:00-05:00,596.0,604.75,595.75,598.75,22141,0.0,0.0
2020-11-24 00:00:00-05:00,599.5,612.25,594.0,611.25,19739,0.0,0.0
2020-11-25 00:00:00-05:00,612.75,616.5,587.0,588.25,23901,0.0,0.0
2020-11-27 00:00:00-05:00,592.25,600.25,589.25,596.5,7296,0.0,0.0
2020-11-30 00:00:00-05:00,599.5,600.0,579.5,580.25,1048,0.0,0.0
2020-12-01 00:00:00-05:00,580.75,580.75,563.5,565.5,540,0.0,0.0
2020-12-02 00:00:00-05:00,565.5,578.75,565.5,578.0,78,0.0,0.0
2020-12-03 00:00:00-05:00,573.5,576.0,568.0,571.75,164,0.0,0.0
2020-12-04 00:00:00-05:00,563.75,566.5,563.75,566.5,55,0.0,0.0
2020-12-07 00:00:00-05:00,560.0,575.75,560.0,571.25,20,0.0,0.0
2020-12-08 00:00:00-05:00,566.75,574.0,563.75,563.75,20,0.0,0.0
2020-12-09 00:00:00-05:00,568.5,581.0,568.5,577.0,10,0.0,0.0
2020-12-10 00:00:00-05:00,590.0,592.5,587.0,590.25,5,0.0,0.0
2020-12-11 00:00:00-05:00,608.25,608.25,608.25,608.25,8,0.0,0.0
2020-12-14 00:00:00-05:00,615.5,615.5,593.5,593.5,74274,0.0,0.0
2020-12-15 00:00:00-05:00,597.25,605.75,594.25,599.75,51418,0.0,0.0
2020-12-16 00:00:00-05:00,602.25,607.75,589.75,598.5,56478,0.0,0.0
